original,predicted,wer:13.96,cer:3.94,num_tokens,num_chars,substitutions,insertions,deletions
bakia kwa umbali wa karibu metre moja na bora zaidi metre mbili migulu sita,bakia kwa umbali wa karibu mere moja na bora zaidi metre mbili mingulu sit,3,3,14,62,3,0,0
kuko ukosefu wa mask za kinganga mu dunia,kuko ukosefu wa maske za kiganga mu dunia,2,2,8,34,2,0,0
kabla ya kuenda soma kanuni mingi za kusafiri zenye kubadilika mara kwa mara ambazo zinalazimishwa mu dunia kote,kabla ya kwenda soma kanuni mingi za kusafiri zenye kubadilika mara kwa mara ambazo zinalaziwishwa mu dunia kote,2,2,18,95,2,0,0
iko sawa vile mafua ya kawaida ao kama homa,iko sawa vile mafua ya kawaida ao kama kroma,1,2,9,35,1,0,0
vala mask ya kiganga na ufate mashauri ya waongozi na waganga,vala maske ya kiganga na ufate mashauri ya waongozi na waganga,1,1,11,51,1,0,0
kwa watu wasiyo kuwa na alama oms haishauri kuvala mask hata kama inchi zingine zinafanya hivyo,kwa watu wasiyo kuwa na alama oms haishauri kuvala maske hata kama inchi zingine zinafanya hivyo,1,1,16,80,1,0,0
kampuni za ndege mu eneo zilizo guswa zinakamata kwa sasa hatua za kupunguza maambukizi na kuhakikisha usalama ya wasafiri,kampuni za ndege mu eneo zilizo guswa zinakamata kwa sasa hatua za kupunguza maambukizi na kuhakikisha usalama ya wasafiri,0,0,19,104,0,0,0
vyuo vikuu zilifunga kwa muda wa juma moja lakini zikaanza tena toa mafunzo kupitia mtandao wa internet,vio vikuu zilifunga kwa muda wa juma moja lakini zikaanza tena tua mafunzo kupithia mtandao wa internet,3,4,17,87,3,0,0
ni kitu ya kawaida kuita iyo ugonjwa kama magonjwa ya mafafa ao virusi ya wachina katika maeneo kama hong kong na taiwan,ni kitu ya kawaida kuita hiyo ugonjwa kama magonjwa ya mafafa ao virusi wa china katika maeneo kama hong kong na taiwan,3,3,22,99,3,0,0
heshimia kanuni za usafi kama zile za kuzuia mafua,heshimia kanuni za usafi kama zile za kuziia mafua,1,1,9,42,1,0,0
onesha alama zako na eneo zenye ulisafiria,onesha alama zako na eneo zenye ulisafiria,0,0,7,36,0,0,0
haiongelei hatua zote lakini ni ya maana,haiongelei hatua zote lakini ni ya maana,0,0,7,34,0,0,0
kufunga ma kampuni na fasi za michezo na kukatazwa kufanya shuruli,kufunga makampuni na fasi za michezo na kukatazwa kufanya shuruli,2,0,11,56,1,0,1
hakuna kipimo inayo tambulika kwa kupima virusi ao kinga ya mwili katika damu atakama vipimo vinaendelea kufanywa,hakuna kipimo inayo tambulika kwa kupima virusi ao kinga ya mwili katika damu hata kama vipimo inaendelea kufanywa,3,2,17,97,2,1,0
kuanzisha sheria za kusoma kwa mbali na kufuata mpango wa kufundisha wanafunzi kueleza kanuni za mafunzo kwa mbali pamoja na wazazi na wanafunzi,kufundisha sheria za ku masomo kwa mbali na kufugata mpango wa kufundisha wanafunzi kueleza kanuni za mafunzo kwa mbali pamoja na wazazi na wanafunzi,4,7,23,122,3,1,0
