original,predicted,wer:13.71,cer:3.89,num_tokens,num_chars,substitutions,insertions,deletions
bakia kwa umbali wa karibu metre moja na bora zaidi metre mbili migulu sita,bakia kwa umbali wa karibu mitres moja na bora zaidi metres mbili migulu sita,2,3,14,62,2,0,0
kuko ukosefu wa mask za kinganga mu dunia,kuko ukosefu wa maske za kiganga mu dunia,2,2,8,34,2,0,0
kabla ya kuenda soma kanuni mingi za kusafiri zenye kubadilika mara kwa mara ambazo zinalazimishwa mu dunia kote,kabla ya kwenda soma kanuni mingi za kusafiri zenye kubadilika mara kwa maa ambazo zinalazimishwa mu dunia kote,2,2,18,95,2,0,0
iko sawa vile mafua ya kawaida ao kama homa,siko sawa vile mafua ya kawaida ao kamakhoma,3,2,9,35,2,0,1
vala mask ya kiganga na ufate mashauri ya waongozi na waganga,vala maske ya kiganga na ufate mashauri ya waongozi na waganga,1,1,11,51,1,0,0
kwa watu wasiyo kuwa na alama oms haishauri kuvala mask hata kama inchi zingine zinafanya hivyo,kwa watu wasiyo kuwa na alama oms haishauri kuvala maske hata kama inchi zingine zinafanya hivyo,1,1,16,80,1,0,0
kampuni za ndege mu eneo zilizo guswa zinakamata kwa sasa hatua za kupunguza maambukizi na kuhakikisha usalama ya wasafiri,kampuni za ndege mu eneo zilizo guswa zinakamata kwa sasa hatua za kupunguza maambukizi na kuhakikisha usalama ya wasafiri,0,0,19,104,0,0,0
vyuo vikuu zilifunga kwa muda wa juma moja lakini zikaanza tena toa mafunzo kupitia mtandao wa internet,vio vikuu zilifunga kwa muda wa juma moja lakini ilikaranza tena tu a mafunzo kupitia mtandao wa internet,4,6,17,87,3,1,0
ni kitu ya kawaida kuita iyo ugonjwa kama magonjwa ya mafafa ao virusi ya wachina katika maeneo kama hong kong na taiwan,ni kitu ya kawaida kuita hiyo ugonjwa kama magonjwa ya mafafa ao virusi ya wachina katika maeneo kama hong kong na taiwan,1,1,22,99,1,0,0
heshimia kanuni za usafi kama zile za kuzuia mafua,heshimia kanui  za usafi kama zile za uzirua mafua,2,5,9,42,2,0,0
onesha alama zako na eneo zenye ulisafiria,onesha alama zako na eneo zenye ulisafiria,0,0,7,36,0,0,0
haiongelei hatua zote lakini ni ya maana,haiongelei hatua zote lakini ni ya maana,0,0,7,34,0,0,0
kufunga ma kampuni na fasi za michezo na kukatazwa kufanya shuruli,kufunga makampuni na fasi za michezo na kukatazwa kufanya shuruli,2,0,11,56,1,0,1
hakuna kipimo inayo tambulika kwa kupima virusi ao kinga ya mwili katika damu atakama vipimo vinaendelea kufanywa,hakuna kipimo inayo tambulika kwa kupima virusi ao kinga ya mwili katika dam hata kama vipimo inaendelea kufanya,5,3,17,97,4,1,0
